"File","LineNumber","MatchedText","LooksLikeCode","LineContent"
"brain-quest.html","289","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"brain-quest.html","327","Bhava","False","<!-- End Bhava Game Menu CSS -->"
"brain-quest.html","338","Bhāva","True","<img src=""./assets/logo.jpg"" alt=""Bhāva Tech"" width=""42"" height=""42""/>"
"brain-quest.html","354","Bhāva","True","<div class=""hero-badge"">🧠 Bhāva Tech · Phase 1 · Ages 10–15</div>"
"brain-quest.html","914","Bhava","True","try { if (window.BhavaSession && typeof BhavaSession.end === 'function') { BhavaSession.end(score); } } catch(e) { console.warn('BhavaSession.end:', e.message); } // Bhava auto-tracked"
"brain-quest.html","983","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"brain-quest.html","1014","Bhava","False","<!-- End Bhava Game Menu -->"
"brain-quest.html","1017","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"calm-zone.html","435","Bhava","False","console.log('[Bhava] calm-zone/' + section + ': ' + score + '/' + total + ' = ' + pct + '%');"
"day-hero-game.html","207","Bhava","False","/* Bhava menu */"
"day-hero-game.html","219","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
"day-hero-game.html","282","Bhava","False","<!-- Bhava Menu -->"
"day-hero-game.html","973","Bhava","True","try { if (window.BhavaSession && typeof BhavaSession.end === 'function') { BhavaSession.end(score); } } catch(e) { console.warn('BhavaSession.end:', e.message); } // Bhava auto-tracked"
"day-hero-game.html","1003","Bhava","False","// Bhava Menu"
"day-hero-game.html","1016","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"day-super-hero.html","93","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
"day-super-hero.html","115","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"day-super-hero.html","153","Bhava","False","<!-- End Bhava Game Menu CSS -->"
"day-super-hero.html","560","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"day-super-hero.html","591","Bhava","False","<!-- End Bhava Game Menu -->"
"day-super-hero.html","594","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"day-super-hero.html","598","Bhava","False","<!-- Bhava Session Tracker — inlined for standalone file:// use -->"
"day-super-hero.html","610","Bhava","False","<!-- Bhava Tech All — inlined stub for standalone use -->"
"dharana-arena.html","6","Bhāva","False","<title>Dhāraṇā Arena — Holistic Attention Trainer | Bhāva Tech</title>"
"dharana-arena.html","321","Bhāva","True","<div class=""brand"">⚡ Bhāva Tech</div>"
"dharana-arena.html","439","Bhāva","False","// Bhāva Tech | Single-file vanilla HTML/CSS/JS"
"dharana-arena.html","1049","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"finlife-india-quest-enhanced.html","299","Bhāva","False","/* Bhāva toast system (bottom-center) */"
"finlife-india-quest-enhanced.html","369","Bhāva","False","/* Bhāva Quotient bars in report */"
"finlife-india-quest-enhanced.html","390","Bhāva","False","/* Bhāva menu button */"
"finlife-india-quest-enhanced.html","587","Bhāva","False","<!-- Bhāva Quotient panel -->"
"finlife-india-quest-enhanced.html","589","Bhāva","False","<h4>🧠 Bhāva Quotient Contribution</h4>"
"finlife-india-quest-enhanced.html","608","Bhāva","True","<div class=""footer-note"">Bhāva Tech — All rights reserved</div>"
"finlife-india-quest-enhanced.html","611","Bhāva","False","<!-- Bhāva menu button -->"
"finlife-india-quest-enhanced.html","628","Bhāva","False","// Bhāva toast system"
"finlife-india-quest-enhanced.html","647","Bhāva","False","// Bhāva domain weights per module"
"finlife-india-quest-enhanced.html","1248","Bhāva","False","// Bhāva raw score computation"
"finlife-india-quest-enhanced.html","1325","Bhāva","True","<div class=""tiny"" style=""font-weight:800;color:#555;margin-bottom:6px;"">Bhāva Quotient contribution:</div>"
